Measurement,Country,Location,Latitude,Longitude,Start,End,conc,unc,uncrel
m1_C,Armenia,Aknalich,40.14,44.16,01/04/2020,30/06/2020,3.4,,
m1_S,Armenia,Aknalich,40.14,45.16,01/04/2020,30/06/2020,3.4,,
m1_J,Armenia,Aknalich,40.14,43.16,01/04/2020,30/06/2020,3.4,,
m1_V,Armenia,Aknalich,41.14,44.16,01/04/2020,30/06/2020,3.4,,
m1_Z,Armenia,Aknalich,39.14,44.16,01/04/2020,30/06/2020,3.4,,
m2_C,Austria,Alt Prerau,48.796,16.475,30/03/2020,06/04/2020,<1.2,,
m2_S,Austria,Alt Prerau,48.796,17.475,30/03/2020,06/04/2020,<1.2,,
m2_J,Austria,Alt Prerau,48.796,15.475,30/03/2020,06/04/2020,<1.2,,
m2_V,Austria,Alt Prerau,49.796,16.475,30/03/2020,06/04/2020,<1.2,,
m2_Z,Austria,Alt Prerau,47.796,16.475,30/03/2020,06/04/2020,<1.2,,
m3_C,Austria,Alt Prerau,48.796,16.475,06/04/2020,14/04/2020,2.22,,
m3_S,Austria,Alt Prerau,48.796,17.475,06/04/2020,14/04/2020,2.22,,
m3_J,Austria,Alt Prerau,48.796,15.475,06/04/2020,14/04/2020,2.22,,
m3_V,Austria,Alt Prerau,49.796,16.475,06/04/2020,14/04/2020,2.22,,
m3_Z,Austria,Alt Prerau,47.796,16.475,06/04/2020,14/04/2020,2.22,,
m4_C,Austria,Bregenz,47.505,9.726,30/03/2020,02/04/2020,<4.4,,
m4_S,Austria,Bregenz,47.505,10.726,30/03/2020,02/04/2020,<4.4,,
m4_J,Austria,Bregenz,47.505,8.726,30/03/2020,02/04/2020,<4.4,,
m4_V,Austria,Bregenz,48.505,9.726,30/03/2020,02/04/2020,<4.4,,
m4_Z,Austria,Bregenz,46.505,9.726,30/03/2020,02/04/2020,<4.4,,
m5_C,Austria,Graz,47.075,15.451,30/03/2020,06/04/2020,<1.8,,
m5_S,Austria,Graz,47.075,16.451,30/03/2020,06/04/2020,<1.8,,
m5_J,Austria,Graz,47.075,14.451,30/03/2020,06/04/2020,<1.8,,
m5_V,Austria,Graz,48.075,15.451,30/03/2020,06/04/2020,<1.8,,
m5_Z,Austria,Graz,46.075,15.451,30/03/2020,06/04/2020,<1.8,,
m6_C,Austria,Graz,47.075,15.451,06/04/2020,14/04/2020,1.67,,
m6_S,Austria,Graz,47.075,16.451,06/04/2020,14/04/2020,1.67,,
m6_J,Austria,Graz,47.075,14.451,06/04/2020,14/04/2020,1.67,,
m6_V,Austria,Graz,48.075,15.451,06/04/2020,14/04/2020,1.67,,
m6_Z,Austria,Graz,46.075,15.451,06/04/2020,14/04/2020,1.67,,
m7_C,Austria,Innsbruck - LI,47.26,11.357,30/03/2020,06/04/2020,<1.9,,
m7_S,Austria,Innsbruck - LI,47.26,12.357,30/03/2020,06/04/2020,<1.9,,
m7_J,Austria,Innsbruck - LI,47.26,10.357,30/03/2020,06/04/2020,<1.9,,
m7_V,Austria,Innsbruck - LI,48.26,11.357,30/03/2020,06/04/2020,<1.9,,
m7_Z,Austria,Innsbruck - LI,46.26,11.357,30/03/2020,06/04/2020,<1.9,,
m8_C,Austria,Innsbruck - LI,47.26,11.357,06/04/2020,13/04/2020,1.18,,
m8_S,Austria,Innsbruck - LI,47.26,12.357,06/04/2020,13/04/2020,1.18,,
m8_J,Austria,Innsbruck - LI,47.26,10.357,06/04/2020,13/04/2020,1.18,,
m8_V,Austria,Innsbruck - LI,48.26,11.357,06/04/2020,13/04/2020,1.18,,
m8_Z,Austria,Innsbruck - LI,46.26,11.357,06/04/2020,13/04/2020,1.18,,
m9_C,Austria,Innsbruck - LIg,47.265,11.342,30/03/2020,06/04/2020,0.894,,
m9_S,Austria,Innsbruck - LIg,47.265,12.342,30/03/2020,06/04/2020,0.894,,
m9_J,Austria,Innsbruck - LIg,47.265,10.342,30/03/2020,06/04/2020,0.894,,
m9_V,Austria,Innsbruck - LIg,48.265,11.342,30/03/2020,06/04/2020,0.894,,
m9_Z,Austria,Innsbruck - LIg,46.265,11.342,30/03/2020,06/04/2020,0.894,,
