No;Lon;Lat;Time;Emitted;Area
1;29.23;51.19;3;4000000000;43.6
2;29.26;51.19;4;30000000000;254.6
3;29.26;51.19;5;27500000000;113.1
4;29.45;51.17;5;10000000000;7.1
5;29.32;51.23;6;11000000000;28.3
6;29.35;51.29;6;1880000000;3.1
7;29.37;51.27;7;3220000000;78.5
8;29.41;51.27;8;31600000000;201.1
9;30.04;51.32;8;5170000000;132.7
10;30.1;51.32;9;67200000000;201.1
11;29.43;51.27;9;26500000000;153.9
12;30;51.32;10;11900000000;50.3
13;30.2;51.3;10;540000000;7.1
14;29.47;51.28;10;33100000000;201.1
15;30.02;51.36;11;15000000000;50.3
16;30.2;51.31;11;200000000;7.1
17;29.57;51.3;11;7000000000;63.6
18;30.05;51.37;12;11300000000;19.6
19;29.61;51.33;12;30000000000;201.1
20;30.2;51.31;12;540000000;12.6
21;29.64;51.37;13;33600000000;153.9
22;30.07;51.38;13;2980000000;28.3
23;30.2;51.34;13;78000000;12.6
24;29.1;51.47;16;17600000000;95
25;30.18;51.39;16;7950000000;3.1
26;28.47;51.46;16;29500000000;490.9
27;29.1;51.47;17;19900000000;176.7
28;30.18;51.39;17;5430000000;19.6
29;28.47;51.46;17;53300000000;706.9
30;29.1;51.47;18;34500000000;176.7
31;30.18;51.4;18;6560000000;19.6
32;28.47;51.46;18;17100000000;572.6
33;29.1;51.47;19;8630000000;38.5
34;30.15;51.41;19;3100000000;3.1
35;28.47;51.46;19;4050000000;38.5
36;29.1;51.47;20;1180000000;28.3
37;30.15;51.41;20;1500000000;3.1
38;28.47;51.46;20;3840000000;38.5
39;29.79;51.38;21;1.96E+09;359.9
40;29.79;51.38;22;1.96E+09;359.9
41;29.79;51.38;23;1.96E+09;359.9
42;30.23;51.41;21;4.80E+08;23.7
43;30.23;51.41;22;4.80E+08;23.7
44;30.23;51.41;23;4.80E+08;23.7
